Forma,NAN_Am,NADBO,NAtemp,nit,NASatO2,Elevacion,Ancho,Velocidad,Rocas,Canto,grava,arena,Limo
Trapecio,0.03,2.38,27.33,0.35,92.04,23,16,5,20,25,30,20,0
Trapecio,0.03,2.95,27.81,NA,100.03,31,11,0,20,45,20,15,0
Trapecio,0.03,3.13,24.27,NA,96.82,35,14,10,30,30,20,10,0
Trapecio,1.15,4.73,27.06,7.54,64.35,9,5,2,0,0,0,50,50
Trapecio,0.5,8.16,26.6,NA,110.39,43,11,9,10,40,10,20,20
Trapecio,0.53,8.57,23.82,NA,106.09,23,11,5,20,60,20,0,0
Trapecio,0.12,28,22.92,0.76,104.97,86,11,13,0,80,20,20,0
Trapecio,0.05,1.57,27.24,NA,82.73,26,3,11,0,30,20,25,25
Trapecio,0.03,NA,26.53,NA,77.81,24,3,14,5,25,35,20,15
Trapecio,0.1,9.21,23.85,NA,100.97,53,11,4,0,70,5,20,5
Trapecio,0.28,33,23.84,1.4,101.41,24,11,3,0,70,20,10,0
Trapecio,0.5,NA,21.92,NA,95.65,619,2,14,30,30,20,20,0
Trapecio,0.5,NA,22.78,NA,93.89,598,3,14,20,30,20,10,20
Trapecio,0.5,NA,26.1,NA,101.27,583,3,14,20,30,20,10,20
Trapecio,0.03,2.66,25.82,2.48,77.78,114,2,11,0,15,30,25,15
Trapecio,0.03,1.3318,26.93,2.76,84.61,46,3,14,0,5,20,40,35
Trapecio,0.03,2.01,26.08,3.05,78.53,46,3,16,0,1,40,40,19
Trapecio,0.16,3,26.13,NA,101.74,158,11,4,40,50,5,5,0
Trapecio,0.22,2.6,27.33,0.98,101.61,34,11,4,0,70,15,15,0
Trapecio,0.03,2.68,15.68,0.57,80.77,1818,NA,NA,NA,NA,NA,NA,NA
Trapecio,0.15,3,25.96,1,110.9,205,11,4,0,80,10,10,0
Trapecio,0.03,NA,28.73,NA,107.5,38,3,13,0,40,30,20,10
Trapecio,0.03,1.49,27.91,0.54,94.3,98,3,14,25,25,15,25,10
Trapecio,0.04,1.48,29.24,0.27,100.2,49,3,15,10,60,10,10,10
Trapecio,0.03,1.9,29.11,0.25,98.75,29,3,14,5,25,30,25,15
Trapecio,0.03,1.5,27.52,NA,96.7,99,3,14,25,40,0,10,25
Trapecio,0.04,1.78,26.6,NA,70.86,20,3,14,15,15,5,30,35
Trapecio,0.28,2.23,28.96,0.79,107.91,82,1,11,60,0,20,20,0
Trapecio,0.53,1.95,29.57,0.89,102.19,43,2,11,0,50,50,0,0
Trapecio,0.41,2.53,28.04,0.92,108.53,17,3,2,0,33.3,33.3,33.3,0
Trapecio,0.57,9.88,30.62,0.83,122.73,149,3,3,90,10,0,0,0
