site,temperature,pH,oxygen,conductivity,plants,land_use,margin,season,richness,abundance,shannon
CAT,-0.538021278,-1.002880473,-1.327514398,-0.911579614,1.200607612,bosque,pastos,dry,-1.138535827,-1.346852319,-0.318094341
CAT,1.419502635,0.193357418,-0.607478534,1.777834303,1.200607612,bosque,pastos,dry,-0.122611551,-0.279458224,-0.066758296
CAT,0.69022902,-0.703821,-0.607478534,0.910893817,1.200607612,agroforestal,pastos,dry,0.603048647,-0.081792651,0.827857415
CAT,0.69022902,0.49241689,-0.94349527,-1.038140269,1.200607612,agroforestal,pastos,wet,1.038444765,1.051489968,0.674946675
CAT,1.381119813,-0.105702055,2.080655359,-1.011020128,1.200607612,agroforestal,pastos,wet,2.054369042,1.802619146,1.237376985
CAT,-0.192575882,1.389595309,0.016552549,-0.956779848,1.200607612,agroforestal,pastos,wet,1.328708845,1.684019802,0.42712582
CAT,1.035674417,0.043827681,-0.271461797,-1.038140269,1.200607612,agroforestal,pastos,wet,0.748180686,-0.081792651,0.007060682
CAT,1.764948032,-2.049588628,0.496576458,-0.938699754,1.200607612,agroforestal,pastos,wet,1.038444765,0.590270298,0.671431485
CAT,0.229635158,-0.554291264,-1.279512007,-0.929659707,1.200607612,agroforestal,pastos,dry,1.473840884,1.604953573,0.594097318
CAT,1.688182388,0.49241689,0.400571676,-1.083340503,1.200607612,agroforestal,pastos,dry,2.054369042,1.9475739,1.168830791
DA,-2.764224945,1.389595309,1.216612322,-0.730778678,1.541956835,semiurbano,pastos,dry,0.457916607,1.117378493,0.469308093
DA,0.114486693,-1.750529155,-1.135504834,-0.021135006,1.541956835,semiurbano,pastos,dry,-0.558007669,-0.661611665,-0.543066464
DA,0.882143129,1.838184518,-1.423519179,-0.938699754,1.541956835,semiurbano,pastos,dry,1.038444765,2.237483407,1.026465618
DA,0.536697733,0.49241689,-1.615528743,-0.631338164,1.541956835,semiurbano,pastos,wet,1.473840884,1.657664393,0.873554878
DA,-0.960232319,-1.600999419,-0.607478534,-0.902539567,1.541956835,semiurbano,pastos,wet,0.603048647,0.3267162,0.748765653
DA,-1.344060537,0.791476363,-1.519523961,-0.676538397,1.541956835,semiurbano,pastos,wet,1.038444765,0.946068329,0.813796658
DA,-0.269341526,-1.451469682,-1.47152157,-0.875419427,1.541956835,semiurbano,pastos,wet,0.748180686,1.486354229,0.551915045
DA,-1.843037221,0.193357418,-1.327514398,-0.89349952,1.541956835,semiurbano,pastos,wet,-0.26774359,-0.977876582,0.165244207
DA,-1.075380784,-0.853350737,-1.903543089,-0.622298117,1.541956835,semiurbano,pastos,dry,1.038444765,1.459998819,0.351549247
DA,-0.538021278,0.9410061,-0.895492879,-0.812139099,1.541956835,semiurbano,pastos,dry,0.893312726,1.578598163,0.246093564
ER,0.306400802,-0.703821,-0.94349527,1.330351988,-0.733704652,bosque,zacate,dry,0.022520489,-0.358524453,0.219729643
ER,1.381119813,-0.554291264,-0.463471361,1.176671192,-0.733704652,bosque,zacate,dry,0.022520489,0.405782429,0.263669511
ER,0.229635158,-0.105702055,-0.895492879,1.158591099,-0.733704652,bosque,zacate,dry,-0.41287563,-0.648433961,0.263669511
ER,0.920525951,0.342887154,-0.655480924,0.570988058,-0.733704652,bosque,zacate,wet,0.457916607,-0.358524453,0.228517617
ER,0.805377486,-0.105702055,-0.271461797,0.363066982,-0.733704652,bosque,zacate,wet,-0.558007669,-0.898810353,-0.114213353
ER,0.766994664,-1.15241021,-0.799488097,0.299786655,-0.733704652,bosque,zacate,wet,1.328708845,0.827468985,0.841918173
