site,acan_speculum,acan_trilobatum ,ani_allopterum,arg_anceps,arg_ellongata,arg_pulla,arg_translata,bra_furcata,can_vibex,dyt_nigra,dyt_sterilis,ena_civile,ena_novaehispaniae,erythe_attala,erythe_peruviana,erythe_plebeja,erythe_vesiculosa,erythr_fervida,erythr_funerea,erythr_fusca,erythr_umbrata,het_cruentata,isc_capreola,isc_ramburii,les_tenuatus,lib_herculea,mac_pseudimitans,mia_marcella,mic_aequalis,mic_atra,mic_mengeri,mic_ocellata,mic_schumanni,neo_cultellatum,oli_umbricola,ort_discolor,ort_ferruginea,pal_lineatipes,pan_flavecens,pan_hymenaea,per_mooma,rem_luteipennis,rhi_jalapensis,tau_argo,tau_australis,tel_digiticolis,tel_filiola,tel_salva,Gomphidae
Catie,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,0,10,0,6,0,0,19,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0
Dona_Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rodeo,0,2,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La_PazA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lankester,0,0,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Catie,1,0,0,2,0,0,0,0,0,0,0,0,0,12,5,1,0,8,0,10,0,0,26,0,0,1,0,0,6,0,0,4,0,18,0,0,0,0,0,0,36,0,0,0,0,9,29,0,0
Dona_Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rodeo,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0
La_PazA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabana,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lankester,0,0,7,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catie,1,0,0,1,0,0,0,1,0,0,0,0,0,6,8,2,0,12,0,26,0,0,35,16,0,3,0,0,16,0,0,2,0,6,0,0,0,0,0,0,59,0,0,0,0,16,34,0,0
Dona_Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rodeo,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,1
La_PazA,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Sabana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0
Lankester,0,0,12,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Catie,1,0,0,0,0,0,0,8,0,0,0,0,0,24,29,4,0,19,0,31,0,0,46,21,0,0,0,0,26,0,0,1,0,25,0,6,0,0,0,0,72,0,0,0,0,27,12,0,0
Dona_Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rodeo,0,8,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,26,0,0,0,0,0,0,0,1
La_PazA,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0
Sabana,0,0,0,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,1,4,0,0,0,0,0,0,0,1,0,5,0,85,0,0,0,0,0,0,0,0
Lankester,0,0,5,12,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Catie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dona_Ana,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,134,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rodeo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
La_PazA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Sabana,0,0,0,9,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,35,0,0,6,0,0,0,0,0,16,0,67,4,126,0,0,0,1,0,0,0,0
Lankester,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Catie,12,0,0,0,0,0,0,2,0,0,0,0,0,7,4,0,0,8,0,11,0,0,19,25,0,0,0,0,6,0,0,8,0,8,0,1,0,0,0,0,423,1,0,0,0,5,16,0,0
Dona_Ana,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rodeo,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,2
La_PazA,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Sabana,0,0,0,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,35,7,0,0,0,16,0,0,1,0,0,2,0,0,23,0,42,0,79,0,0,0,0,0,0,0,0
Lankester,0,0,8,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Catie,9,0,0,0,0,0,0,1,0,0,0,0,0,15,17,2,0,16,0,26,0,0,22,6,0,0,0,0,17,0,0,19,0,29,0,15,0,0,0,0,159,0,0,0,0,24,35,0,0
Dona_Ana,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,34,69,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
La_PazA,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
Sabana,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,5,0,0,16,25,0,0,0,24,1,0,1,0,0,1,0,0,12,0,175,0,146,0,0,0,0,0,0,0,0
